drug_name,Owner,dominant_enzyme,Internal_ID,inchi_key,smiles,molecular_weight,logP,pKa,polar_surface_area,dominant_enzyme,metabolism_type,fm_dominant,secondary_enzyme,dose_mg,AUC_ng_h_ml,Cmax_ng_ml,clearance_L_h_kg,half_life_h,inhibitor_tested_SMILES,enzyme_inhibited,AUC_fold_change,data_source
Midazolam,Lance,CYP3A4,1,DDLIGBOFAVUZHB-UHFFFAOYSA-N,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.8,2.73,5.5,30.2,CYP3A4,CYP,,,2.25,444.3,114.5,0.61,4.5,,,,
Triazolam,Lance,CYP3A4,2,JOFWLTCLBGQGBO-UHFFFAOYSA-N,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,343.2,2.42,2.4,43.1,CYP3A,CYP,,,0.25,,,,,,,,
Alprazolam,Lance,CYP3A4,3,VREFGVBLTWBCJP-UHFFFAOYSA-N,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,308.8,,,,,,,,,,,,,,,,
Buspirone,Lance,CYP3A4,4,QWCRAEMEVRGPNT-UHFFFAOYSA-N,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.5,,,,,,,,,,,,,,,,
Quetiapine,Lance,CYP3A4,5,URKOMYMAXPYINW-UHFFFAOYSA-N,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.5,,,,,,,,,,,,,,,,
Lurasidone,Lance,CYP3A4,6,PQXKDMSYBGKCJA-CVTJIBDQSA-N,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,492.7,,,,,,,,,,,,,,,,
Simvastatin,Lance,CYP3A4,7,RYMZZMVNJRMUDD-HGQWONQESA-N,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,418.6,,,,,,,,,,,,,,,,
Lovastatin,Lance,CYP3A4,8,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,404.5,,,,,,,,,,,,,,,,
Atorvastatin,Lance,CYP3A4,9,XUKUURHRXDUEBC-KAYWLYCHSA-N,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,558.6,,,,,,,,,,,,,,,,
Sildenafil,Lance,CYP3A4,10,BNRNXUUZRGQAQC-UHFFFAOYSA-N,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,474.6,,,,,,,,,,,,,,,,
Tadalafil,Lance,CYP3A4,11,WOXKDUGGOYFFRN-IIBYNOLFSA-N,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,389.4,,,,,,,,,,,,,,,,
Tacrolimus,Lance,CYP3A4,12,QJJXYPPXXYFBGM-LFZNUXCKSA-N,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,804,,,,,,,,,,,,,,,,
Cyclosporine,Lance,CYP3A4,13,PMATZTZNYRCHOR-CGLBZJNRSA-N,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1202.6,,,,,,,,,,,,,,,,
Amlodipine,Lance,CYP3A4,14,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,408.9,,,,,,,,,,,,,,,,
Felodipine,Lance,CYP3A4,15,,,,,,,,,,,,,,,,,,,
Nifedipine,Lance,CYP3A4,16,HYIMSNHJOBLJNT-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],346.3,,,,,,,,,,,,,,,,
Eplerenone,Lance,CYP3A4,17,JUKPWJGBANNWMW-VWBFHTRKSA-N,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,414.5,,,,,,,,,,,,,,,,
Rivaroxaban,Lance,CYP3A4,18,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,435.9,,,,,,,,,,,,,,,,
Apixaban,Lance,CYP3A4,19,QNZCBYKSOIHPEH-UHFFFAOYSA-N,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,459.5,,,,,,,,,,,,,,,,
Oxycodone,Lance,CYP3A4,20,BRUQQQPBMZOVGD-XFKAJCMBSA-N,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.4,,,,,,,,,,,,,,,,
Metoprolol,Lance,CYP2D6,21,IUBSYMUCCVWXPE-UHFFFAOYSA-N,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36,,,,,,,,,,,,,,,,
Propranolol,Lance,CYP2D6,22,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2ccccc12,259.34,,,,,,,,,,,,,,,,
Desipramine,Lance,CYP2D6,23,HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,266.4,,,,,,,,,,,,,,,,
Nortriptyline,Lance,CYP2D6,24,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,CNCCC=C1c2ccccc2CCc2ccccc21,263.4,,,,,,,,,,,,,,,,
Atomoxetine,Lance,CYP2D6,25,VHGCDTVCOLNTBX-QGZVFWFLSA-N,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.35,,,,,,,,,,,,,,,,
Codeine,Lance,CYP2D6,26,OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,299.4,,,,,,,,,,,,,,,,
Dextromethorphan,Lance,CYP2D6,27,MKXZASYAUGDDCJ-NJAFHUGGSA-N,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.4,,,,,,,,,,,,,,,,
Venlafaxine,Lance,CYP2D6,28,PNVNVHUZROJLTJ-UHFFFAOYSA-N,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4,,,,,,,,,,,,,,,,
Duloxetine,Lance,CYP2D6,29,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,297.4,,,,,,,,,,,,,,,,
Paroxetine,Lance,CYP2D6,30,AHOUBRCZNHFOSL-YOEHRIQHSA-N,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.4,,,,,,,,,,,,,,,,
